type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,6.4,-1.171182981502945,0.38,1.3609765531356006,0.19493588689617927,4.358898943540674,10.099504938362077,0.9912,3.17,0.35,2.3978952727983707,1
1,6.8,-1.3470736479666092,0.42,0.9932517730102833,0.22135943621178655,6.4031242374328485,11.045361017187261,0.993,3.47,0.48,2.3513752571634776,1
1,7.6,-0.40047756659712525,0.14,0.9162907318741551,0.2720294101747089,5.0,12.96148139681572,0.9937,3.05,0.51,2.2300144001592104,0
1,6.6,-1.3093333199837622,0.41,0.832909122935104,0.22803508501982758,4.0,11.916375287812984,0.9951,3.42,0.47,2.302585092994046,0
1,7.0,-1.3862943611198906,0.32,2.302585092994046,0.21447610589527216,7.483314773547883,15.652475842498529,0.9955,3.25,0.5,2.341805806147327,0
1,6.9,-1.4271163556401458,0.35,0.6931471805599453,0.22803508501982758,5.916079783099616,12.083045973594572,0.993,3.45,0.44,2.302585092994046,0
1,7.0,-1.2729656758128873,0.39,2.272125885509337,0.22583179581272428,5.656854249492381,11.874342087037917,0.9961,3.38,0.53,2.3513752571634776,0
1,7.4,-1.3093333199837622,0.48,0.7419373447293773,0.216794833886788,4.123105625617661,11.489125293076057,0.9914,3.19,0.49,2.451005098112319,0
1,7.2,-1.1394342831883648,0.36,1.0986122886681098,0.1816590212458495,6.082762530298219,10.677078252031311,0.9906,3.1,0.71,2.509599262378372,1
1,8.5,-1.4271163556401458,0.39,2.4336133554004498,0.20976176963403032,4.47213595499958,11.916375287812984,0.9974,3.2,0.53,2.302585092994046,0
1,8.3,-1.9661128563728327,0.34,0.7419373447293773,0.20493901531919198,2.6457513110645907,6.855654600401044,0.9934,3.47,0.4,2.322387720290225,0
1,7.4,-1.3862943611198906,0.36,1.1151415906193203,0.22360679774997896,5.5677643628300215,10.0,0.992,3.19,0.44,2.379546134130174,0
1,5.8,-1.3093333199837622,0.2,2.7694588292308535,0.20976176963403032,4.69041575982343,13.379088160259652,0.9962,3.37,0.37,2.322387720290225,0
1,7.3,-1.2729656758128873,0.43,0.9932517730102833,0.282842712474619,4.58257569495584,11.090536506409418,0.9905,3.19,0.42,2.5494451709255714,0
1,6.5,-0.941608539858445,0.23,1.8562979903656263,0.22583179581272428,5.0,12.206555615733702,0.9934,3.24,0.35,2.302585092994046,0
1,7.0,-1.1086626245216111,0.32,0.7884573603642702,0.23021728866442676,6.164414002968976,11.74734012447073,0.9906,3.13,0.28,2.4159137783010487,0
1,7.0,-1.171182981502945,0.26,2.128231705849268,0.26267851073127396,5.291502622129181,12.649110640673518,0.9954,3.13,0.46,2.2823823856765264,0
1,6.6,-1.4271163556401458,0.27,0.8754687373538999,0.23874672772626646,5.744562646538029,12.328828005937952,0.9934,3.22,0.56,2.2512917986064953,0
1,6.7,-1.4696759700589417,0.26,0.8754687373538999,0.2449489742783178,5.744562646538029,12.409673645990857,0.9934,3.24,0.56,2.2512917986064953,0
1,7.4,-1.7147984280919266,0.31,0.8754687373538999,0.24083189157584592,6.164414002968976,12.922847983320086,0.9931,3.16,0.53,2.302585092994046,1
1,6.2,-0.7985076962177716,0.26,1.6863989535702288,0.25099800796022265,7.937253933193772,14.352700094407323,0.994,3.27,0.52,2.2823823856765264,0
1,6.2,-0.7765287894989963,0.25,1.6863989535702288,0.2569046515733026,7.874007874011811,14.38749456993816,0.9939,3.25,0.52,2.2823823856765264,0
1,6.9,-1.6607312068216509,0.35,1.791759469228055,0.2588435821108957,5.656854249492381,12.24744871391589,0.995,3.36,0.48,2.2823823856765264,0
1,7.2,-1.6607312068216509,0.31,0.9555114450274363,0.24899799195977465,5.5677643628300215,13.152946437965905,0.9917,3.35,0.44,2.4595888418037104,0
1,6.6,-1.3862943611198906,0.29,0.7419373447293773,0.260768096208106,6.244997998398398,11.135528725660043,0.9914,3.34,0.58,2.3978952727983707,1
1,6.2,-1.8325814637483102,0.33,0.7419373447293773,0.23874672772626646,4.58257569495584,9.055385138137417,0.991,3.32,0.46,2.388762789235098,1
1,6.4,-1.7147984280919266,0.35,0.6931471805599453,0.21213203435596426,6.244997998398398,10.392304845413264,0.9911,3.31,0.35,2.388762789235098,0
1,6.9,-1.3862943611198906,0.35,0.832909122935104,0.19748417658131498,5.385164807134504,13.820274961085254,0.9908,3.13,0.52,2.3978952727983707,0
1,7.2,-1.5606477482646683,0.34,2.5572273113676265,0.2073644135332772,6.082762530298219,14.594519519326424,0.9962,3.09,0.5,2.2617630984737906,0
1,6.0,-1.6607312068216509,0.26,2.5952547069568657,0.21908902300206645,7.0710678118654755,12.12435565298214,0.9972,3.3,0.36,2.186051276738094,0
1,6.6,-0.9675840262617056,0.15,1.7227665977411035,0.20976176963403032,5.0,8.831760866327848,0.9931,3.11,0.38,2.322387720290225,0
1,7.4,-1.6094379124341003,0.36,0.7884573603642702,0.19493588689617927,6.6332495807108,10.535653752852738,0.9926,3.36,0.34,2.2925347571405443,0
1,6.8,-1.5141277326297755,0.24,1.7749523509116738,0.30331501776206204,5.477225575051661,11.090536506409418,0.9951,3.03,0.46,2.151762203259462,0
1,7.0,-0.7550225842780328,0.07,0.7419373447293773,0.18708286933869708,4.123105625617661,12.288205727444508,0.991,3.02,0.34,2.3513752571634776,0
1,7.2,-1.4271163556401458,0.27,0.8754687373538999,0.19493588689617927,5.5677643628300215,11.045361017187261,0.9927,3.15,0.46,2.33214389523559,0
1,6.2,-1.0498221244986778,0.03,0.7884573603642702,0.25298221281347033,5.385164807134504,10.954451150103322,0.9934,3.22,0.54,2.2082744135228043,0
1,6.4,-1.3470736479666092,0.24,2.0014800002101243,0.2,5.196152422706632,11.135528725660043,0.9903,3.22,0.49,2.533696813957432,1
1,6.7,-1.4696759700589417,0.31,1.1314021114911006,0.21447610589527216,5.477225575051661,9.797958971132712,0.9926,3.33,0.64,2.3702437414678603,1
1,7.4,-1.4271163556401458,0.29,2.4069451083182885,0.22360679774997896,4.58257569495584,10.246950765959598,0.9962,3.13,0.35,2.2512917986064953,0
1,6.2,-1.3093333199837622,0.43,2.174751721484161,0.23664319132398465,6.928203230275509,15.620499351813308,0.9956,3.1,0.51,2.1972245773362196,0
1,6.8,-1.2039728043259361,0.23,1.7227665977411035,0.2469817807045694,7.106335201775948,15.443445211480501,0.9958,3.32,0.6,2.2512917986064953,0
1,8.6,-1.4696759700589417,0.46,0.6931471805599453,0.232379000772445,3.0,8.48528137423857,0.9941,2.95,0.49,2.2082744135228043,0
1,7.1,-1.7147984280919266,0.36,0.8754687373538999,0.2073644135332772,5.5677643628300215,9.327379053088816,0.9898,3.26,0.37,2.5416019934645457,1
1,7.0,-1.1394342831883648,0.34,0.832909122935104,0.20493901531919198,4.47213595499958,8.306623862918075,0.9912,3.31,0.65,2.4849066497880004,1
1,7.4,-1.7147984280919266,0.3,2.2823823856765264,0.25298221281347033,5.0990195135927845,10.14889156509222,0.9961,2.94,0.56,2.2300144001592104,0
1,6.7,-0.616186139423817,0.28,1.8562979903656263,0.2449489742783178,4.58257569495584,10.246950765959598,0.9949,3.27,0.37,2.1972245773362196,0
1,6.8,-1.5141277326297755,0.31,0.8754687373538999,0.23021728866442676,5.830951894845301,10.677078252031311,0.9929,3.39,0.77,2.3608540011180215,0
1,7.1,-1.6094379124341003,0.34,2.833213344056216,0.22360679774997896,7.14142842854285,12.884098726725126,0.9985,3.21,0.6,2.2192034840549946,0
1,7.1,-1.0788096613719298,0.2,1.9600947840472698,0.25099800796022265,6.855654600401044,12.806248474865697,0.9946,3.17,0.42,2.302585092994046,0
1,7.3,-1.5141277326297755,0.3,2.2192034840549946,0.216794833886788,6.48074069840786,14.38749456993816,0.9966,3.33,0.46,2.2512917986064953,0
1,7.1,-0.843970070294529,0.61,2.5494451709255714,0.21213203435596426,7.3484692283495345,12.449899597988733,0.9974,3.11,0.45,2.163323025660538,0
1,7.1,-0.8209805520698302,0.62,2.5494451709255714,0.20976176963403032,7.211102550927978,12.328828005937952,0.9975,3.12,0.46,2.163323025660538,0
1,6.8,-1.3862943611198906,0.31,2.6602595372658615,0.22360679774997896,8.306623862918075,14.212670403551895,0.9972,3.22,0.48,2.272125885509337,0
1,7.2,-0.941608539858445,0.63,2.4849066497880004,0.20976176963403032,7.416198487095663,12.489995996796797,0.9974,3.09,0.44,2.163323025660538,0
1,6.1,-1.3093333199837622,0.43,2.1400661634962708,0.22135943621178655,8.06225774829855,15.588457268119896,0.9957,3.12,0.47,2.1972245773362196,0
1,6.9,-1.4271163556401458,0.33,0.9932517730102833,0.18708286933869708,6.855654600401044,11.661903789690601,0.99,3.26,0.4,2.533696813957432,1
1,6.9,-1.5606477482646683,0.33,1.0296194171811581,0.18439088914585774,6.928203230275509,11.661903789690601,0.9899,3.25,0.41,2.533696813957432,1
1,7.5,-1.7719568419318752,0.32,0.9932517730102833,0.2,7.14142842854285,12.165525060596439,0.9916,3.21,0.44,2.4423470353692043,1
1,7.1,-1.3470736479666092,0.29,2.5952547069568657,0.20976176963403032,7.874007874011811,15.491933384829668,0.9969,3.04,0.42,2.2192034840549946,0
1,8.6,-1.3280254529959148,0.36,0.7884573603642702,0.18439088914585774,3.872983346207417,8.94427190999916,0.9913,2.95,0.36,2.4336133554004498,1
1,7.4,-1.3862943611198906,0.37,2.6741486494265287,0.2449489742783178,7.211102550927978,13.856406460551018,0.9975,3.0,0.44,2.2082744135228043,0
1,7.1,-2.120263536200091,0.32,2.3608540011180215,0.232379000772445,8.0,12.727922061357855,0.9962,3.4,0.41,2.2407096892759584,0
1,6.0,-1.5606477482646683,0.24,2.5726122302071057,0.22360679774997896,7.416198487095663,12.806248474865697,0.997,3.34,0.39,2.2407096892759584,0
1,7.3,-2.0402208285265546,0.32,2.7343675094195836,0.22583179581272428,5.830951894845301,10.44030650891055,0.9974,3.2,0.35,2.2192034840549946,0
1,6.9,-1.1086626245216111,0.28,0.832909122935104,0.22583179581272428,6.082762530298219,13.674794331177344,0.9927,3.27,0.6,2.33214389523559,0
1,6.5,-1.7719568419318752,0.54,2.2512917986064953,0.2863564212655271,8.0,12.767145334803704,0.9959,2.89,0.39,2.174751721484161,0
1,7.2,-1.171182981502945,0.5,2.6602595372658615,0.23664319132398465,8.246211251235321,13.96424004376894,0.9982,3.01,0.47,2.2192034840549946,0
1,6.7,-0.8915981192837836,0.34,2.322387720290225,0.22135943621178655,5.385164807134504,12.24744871391589,0.9968,3.22,0.51,2.2082744135228043,0
1,5.5,-0.7236063880446539,0.0,0.9162907318741551,0.25495097567963926,2.8284271247461903,10.14889156509222,0.994,3.63,0.4,2.272125885509337,0
1,6.0,-1.171182981502945,0.24,1.4586150226995167,0.2024845673131659,5.0,11.958260743101398,0.9914,3.31,0.44,2.424802725718295,0
1,7.0,-1.9661128563728327,0.4,0.9932517730102833,0.18708286933869708,4.0,9.219544457292887,0.9911,3.19,0.42,2.468099531471619,0
1,7.3,-1.1394342831883648,0.48,2.6602595372658615,0.2449489742783178,7.54983443527075,14.0,0.9982,3.04,0.5,2.2192034840549946,0
1,5.9,-1.0216512475319814,0.04,1.9021075263969205,0.21447610589527216,4.58257569495584,9.327379053088816,0.9934,3.22,0.51,2.322387720290225,0
1,7.8,-1.4271163556401458,0.32,2.580216829592325,0.232379000772445,6.48074069840786,11.74734012447073,0.9984,3.01,0.54,2.174751721484161,0
1,7.4,-1.8325814637483102,0.31,2.060513531794317,0.24289915602982237,5.5677643628300215,11.445523142259598,0.9952,3.29,0.34,2.272125885509337,0
1,6.9,-1.6607312068216509,0.28,1.791759469228055,0.24083189157584592,3.7416573867739413,12.083045973594572,0.9952,3.29,0.36,2.2082744135228043,0
1,6.4,-2.0402208285265546,0.47,0.9555114450274363,0.30331501776206204,6.324555320336759,12.569805089976535,0.9928,3.21,0.36,2.2823823856765264,0
1,6.7,-1.6607312068216509,0.36,0.7419373447293773,0.161245154965971,7.937253933193772,11.958260743101398,0.9912,3.27,0.48,2.3978952727983707,0
1,7.4,-0.941608539858445,0.23,2.0794415416798357,0.1816590212458495,5.385164807134504,11.224972160321824,0.994,3.14,0.42,2.3513752571634776,0
1,6.5,-1.4271163556401458,0.32,2.151762203259462,0.19493588689617927,6.928203230275509,14.247806848775006,0.9958,3.45,0.54,2.272125885509337,1
1,6.1,-1.2039728043259361,0.56,1.33500106673234,0.20976176963403032,6.855654600401044,13.379088160259652,0.9924,3.3,0.57,2.388762789235098,1
1,6.1,-1.2039728043259361,0.56,1.308332819650179,0.21447610589527216,6.782329983125268,13.564659966250536,0.9924,3.31,0.57,2.388762789235098,0
1,5.7,-1.3470736479666092,0.25,2.4336133554004498,0.1414213562373095,2.6457513110645907,7.54983443527075,0.994,3.39,0.37,2.3608540011180215,0
1,6.5,-0.8556661100577202,0.4,2.6461747973841225,0.19493588689617927,7.681145747868608,15.524174696260024,0.9979,3.23,0.57,2.1972245773362196,0
1,6.6,-1.4271163556401458,0.27,2.8213788864092133,0.18708286933869708,6.782329983125268,13.711309200802088,0.9982,3.24,0.51,2.2192034840549946,0
1,6.8,-1.3093333199837622,0.22,2.2082744135228043,0.18439088914585774,7.416198487095663,14.247806848775006,0.9961,3.19,0.52,2.186051276738094,0
1,6.7,-1.3093333199837622,0.31,2.8154087194227095,0.18973665961010275,6.6332495807108,13.379088160259652,0.9979,3.26,0.56,2.2617630984737906,0
1,8.2,-1.4696759700589417,0.4,0.7884573603642702,0.16431676725154984,6.0,11.0,0.992,3.12,0.38,2.3702437414678603,0
1,6.8,-1.6607312068216509,0.36,1.0647107369924282,0.18708286933869708,5.477225575051661,9.797958971132712,0.9917,3.15,0.54,2.379546134130174,1
1,6.3,-1.171182981502945,0.34,1.1631508098056809,0.21213203435596426,4.47213595499958,8.774964387392123,0.9927,3.3,0.43,2.322387720290225,0
1,7.9,-1.5606477482646683,0.4,0.7884573603642702,0.19748417658131498,6.164414002968976,10.344080432788601,0.992,3.21,0.54,2.379546134130174,0
1,8.5,-1.5606477482646683,0.41,1.667706820558076,0.18973665961010275,4.898979485566356,9.9498743710662,0.9947,3.18,0.53,2.272125885509337,0
1,8.1,-1.6094379124341003,0.4,1.0986122886681098,0.19235384061671346,4.358898943540674,9.327379053088816,0.9921,3.12,0.54,2.4159137783010487,0
1,6.3,-1.3664917338237108,0.37,0.7419373447293773,0.2,6.082762530298219,10.677078252031311,0.9905,3.0,0.39,2.388762789235098,0
1,5.6,-1.8325814637483102,0.27,0.8754687373538999,0.20976176963403032,7.280109889280518,12.96148139681572,0.9918,3.28,0.37,2.312535423847214,0
1,6.4,-0.5191938734365074,0.14,1.824549292051046,0.24083189157584592,3.872983346207417,9.848857801796104,0.9951,3.38,0.36,2.1972245773362196,0
1,6.3,-1.0788096613719298,0.33,1.7227665977411035,0.18439088914585774,4.358898943540674,8.94427190999916,0.9917,3.38,0.58,2.4849066497880004,1
1,6.9,-1.3862943611198906,0.3,1.62924053973028,0.232379000772445,4.795831523312719,10.770329614269007,0.994,2.99,0.38,2.2407096892759584,0
1,7.9,-1.5141277326297755,0.38,2.1972245773362196,0.2073644135332772,6.782329983125268,12.328828005937952,0.9934,3.12,0.32,2.4423470353692043,1
1,7.6,-1.7147984280919266,0.46,2.4159137783010487,0.2345207879911715,7.615773105863909,11.61895003862225,0.9968,3.14,0.43,2.2925347571405443,0
1,7.2,-1.7147984280919266,0.41,0.7884573603642702,0.21908902300206645,6.4031242374328485,9.848857801796104,0.9919,3.14,0.45,2.341805806147327,0
1,8.2,-1.4696759700589417,0.4,2.1400661634962708,0.22135943621178655,3.4641016151377544,8.717797887081348,0.9966,3.06,0.84,2.272125885509337,0
1,7.4,-1.4271163556401458,0.42,2.70805020110221,0.2569046515733026,6.928203230275509,14.071247279470288,0.9979,2.89,0.42,2.186051276738094,0
1,6.1,-1.1394342831883648,0.24,0.9162907318741551,0.18973665961010275,6.164414002968976,11.135528725660043,0.9898,3.29,0.42,2.517696472610991,1
1,5.2,-0.8209805520698302,0.04,0.8754687373538999,0.18973665961010275,6.557438524302,10.908712114635714,0.9894,3.36,0.33,2.4932054526026954,1
1,6.4,-1.5141277326297755,0.56,2.740840023925201,0.2345207879911715,5.196152422706632,12.609520212918492,0.998,2.98,0.4,2.2082744135228043,0
1,6.3,-1.0216512475319814,0.3,1.7578579175523736,0.22135943621178655,3.7416573867739413,9.219544457292887,0.9932,3.28,0.39,2.3608540011180215,0
1,6.7,-1.4271163556401458,0.35,2.6461747973841225,0.22360679774997896,8.0,14.317821063276353,0.997,3.15,0.5,2.2512917986064953,0
1,7.0,-1.4696759700589417,0.36,2.6390573296152584,0.22583179581272428,8.48528137423857,13.30413469565007,0.9972,3.16,0.49,2.2823823856765264,0
1,8.4,-1.3093333199837622,0.46,2.272125885509337,0.21908902300206645,6.244997998398398,14.035668847618199,0.9974,3.14,0.59,2.2617630984737906,0
1,6.7,-0.7765287894989963,0.18,1.2237754316221157,0.18439088914585774,5.0,9.899494936611665,0.9896,3.08,0.44,2.533696813957432,1
1,7.5,-1.2378743560016174,0.31,2.2975725511705014,0.2345207879911715,4.47213595499958,12.288205727444508,0.9968,3.08,0.54,2.2300144001592104,0
1,7.1,-1.2039728043259361,0.46,0.9162907318741551,0.2569046515733026,5.385164807134504,11.532562594670797,0.9906,3.12,0.54,2.5416019934645457,0
1,7.9,-1.6607312068216509,0.45,0.9162907318741551,0.21213203435596426,4.123105625617661,9.797958971132712,0.9917,3.13,0.39,2.3978952727983707,0
1,7.6,-0.7339691750802004,0.37,0.5877866649021191,0.19235384061671346,2.0,10.0,0.9902,3.03,0.39,2.4336133554004498,0
1,6.3,-1.5141277326297755,0.43,1.713797927758343,0.19493588689617927,5.5677643628300215,11.40175425099138,0.9918,3.35,0.33,2.4423470353692043,1
1,6.9,-1.4696759700589417,0.4,2.1400661634962708,0.2,7.0710678118654755,12.288205727444508,0.9927,3.11,0.27,2.4336133554004498,0
1,7.2,-1.1394342831883648,0.47,1.8082887711792655,0.20976176963403032,4.358898943540674,8.06225774829855,0.991,3.03,0.41,2.533696813957432,0
1,5.9,-1.4696759700589417,0.3,2.631888840136646,0.232379000772445,7.54983443527075,13.038404810405298,0.9972,3.28,0.39,2.2407096892759584,0
1,6.0,-0.40047756659712525,0.07,0.7884573603642702,0.2449489742783178,3.0,10.392304845413264,0.9931,3.11,0.35,2.163323025660538,0
1,6.4,-1.3862943611198906,0.32,1.8718021769015913,0.22135943621178655,6.4031242374328485,13.2664991614216,0.995,3.19,0.68,2.2192034840549946,0
1,6.4,-1.1086626245216111,0.31,1.8718021769015913,0.21908902300206645,6.48074069840786,13.152946437965905,0.9951,3.19,0.66,2.2300144001592104,0
1,7.1,-1.0788096613719298,0.15,0.7884573603642702,0.23021728866442676,7.810249675906654,13.527749258468683,0.9936,3.09,0.43,2.2192034840549946,0
1,6.9,-1.3093333199837622,0.4,2.70805020110221,0.22360679774997896,8.0,15.066519173319364,0.9979,3.18,0.58,2.2617630984737906,0
1,6.8,-1.3470736479666092,0.56,2.5572273113676265,0.2073644135332772,8.0,15.033296378372908,0.997,3.02,0.63,2.2300144001592104,0
1,6.8,-1.2378743560016174,0.56,2.5572273113676265,0.2073644135332772,8.12403840463596,15.165750888103101,0.9972,3.02,0.63,2.2300144001592104,0
1,6.7,-1.4271163556401458,0.41,2.341805806147327,0.2,7.0,12.884098726725126,0.9954,3.12,0.61,2.2925347571405443,0
1,5.9,-1.2039728043259361,0.23,1.6486586255873816,0.19493588689617927,6.48074069840786,10.908712114635714,0.9924,3.15,0.5,2.3978952727983707,0
1,6.8,-0.6348782724359695,0.35,1.5686159179138452,0.18439088914585774,5.0990195135927845,10.44030650891055,0.9906,3.26,0.57,2.5416019934645457,1
1,6.5,-1.2729656758128873,0.28,2.2512917986064953,0.216794833886788,7.3484692283495345,14.491376746189438,0.9962,3.09,0.54,2.186051276738094,0
1,6.6,-1.2729656758128873,0.28,2.2512917986064953,0.22803508501982758,7.416198487095663,14.52583904633395,0.9962,3.09,0.55,2.186051276738094,0
1,6.8,-1.2729656758128873,0.36,2.1972245773362196,0.21213203435596426,5.291502622129181,11.090536506409418,0.9928,3.02,0.37,2.4336133554004498,0
1,6.6,-1.8971199848858813,0.34,1.8082887711792655,0.2345207879911715,5.830951894845301,11.180339887498949,0.9942,3.36,0.42,2.2617630984737906,0
1,6.8,-1.3470736479666092,0.24,2.174751721484161,0.22803508501982758,7.3484692283495345,14.628738838327793,0.9961,3.13,0.47,2.186051276738094,0
1,7.1,-1.1394342831883648,0.24,2.6461747973841225,0.22360679774997896,7.211102550927978,14.2828568570857,0.998,3.1,0.49,2.174751721484161,0
1,6.9,-0.616186139423817,0.32,2.653241964607215,0.22360679774997896,7.280109889280518,15.362291495737216,0.9973,3.2,0.5,2.2617630984737906,0
1,6.8,-1.3470736479666092,0.34,2.7013612129514133,0.18439088914585774,6.244997998398398,11.575836902790225,0.9949,3.33,0.53,2.4849066497880004,0
1,5.8,-1.2729656758128873,0.35,1.1939224684724346,0.23021728866442676,6.0,10.677078252031311,0.9924,3.28,0.5,2.322387720290225,0
1,6.4,-1.5606477482646683,0.5,2.533696813957432,0.20493901531919198,6.708203932499369,12.36931687685298,0.9972,3.15,0.43,2.174751721484161,0
1,7.0,-1.8325814637483102,0.32,2.2300144001592104,0.21213203435596426,6.164414002968976,11.224972160321824,0.9958,3.21,0.34,2.2192034840549946,0
1,6.8,-0.5621189181535413,0.29,1.1631508098056809,0.2,3.872983346207417,8.774964387392123,0.9938,3.32,0.74,2.322387720290225,0
1,6.1,-0.916290731874155,0.31,0.6418538861723948,0.21908902300206645,4.795831523312719,13.038404810405298,0.993,3.22,0.77,2.2512917986064953,0
1,5.6,-1.40649706843741,0.25,2.3702437414678603,0.17888543819998318,3.4641016151377544,8.246211251235321,0.994,3.31,0.34,2.3513752571634776,0
1,6.8,-1.7147984280919266,0.38,0.8754687373538999,0.19493588689617927,5.916079783099616,10.535653752852738,0.9918,3.32,0.59,2.4159137783010487,1
1,6.7,-2.0402208285265546,0.29,1.840549633397487,0.22583179581272428,5.5677643628300215,11.045361017187261,0.9944,3.44,0.37,2.272125885509337,0
1,6.2,-1.3862943611198906,0.25,0.8754687373538999,0.17320508075688773,5.916079783099616,10.246950765959598,0.9912,3.3,0.44,2.4069451083182885,1
1,5.8,-1.3470736479666092,0.24,2.322387720290225,0.20976176963403032,7.416198487095663,12.328828005937952,0.9961,3.31,0.38,2.2407096892759584,0
1,7.5,-1.3093333199837622,0.36,2.0794415416798357,0.18973665961010275,6.708203932499369,12.806248474865697,0.9939,3.03,0.33,2.3978952727983707,0
1,7.5,-1.4696759700589417,0.36,2.0794415416798357,0.18973665961010275,6.557438524302,12.68857754044952,0.9938,3.04,0.32,2.3978952727983707,0
1,6.5,-1.6607312068216509,0.3,0.5877866649021191,0.2073644135332772,5.744562646538029,12.0,0.9936,3.42,0.39,2.2082744135228043,0
1,6.4,-1.7719568419318752,0.32,1.2237754316221157,0.21908902300206645,6.4031242374328485,14.142135623730951,0.9938,3.5,0.5,2.272125885509337,0
1,7.1,-1.3862943611198906,0.32,2.424802725718295,0.2024845673131659,8.12403840463596,16.492422502470642,0.9969,3.17,0.52,2.2082744135228043,0
1,6.8,-0.4462871026284195,0.08,2.3702437414678603,0.24899799195977465,5.0990195135927845,11.916375287812984,0.9972,3.37,0.46,2.186051276738094,0
1,8.3,-1.2729656758128873,0.4,2.174751721484161,0.2024845673131659,6.164414002968976,13.92838827718412,0.9976,3.34,0.51,2.2617630984737906,0
1,8.2,-1.3093333199837622,0.39,2.174751721484161,0.19748417658131498,7.0,14.422205101855956,0.9976,3.31,0.51,2.2512917986064953,0
1,7.2,-1.4696759700589417,0.38,2.72785282839839,0.24083189157584592,7.416198487095663,13.92838827718412,0.9979,3.09,0.44,2.1972245773362196,0
1,6.8,-0.6539264674066639,0.32,2.653241964607215,0.20976176963403032,7.3484692283495345,14.866068747318506,0.9972,3.27,0.5,2.2617630984737906,0
1,7.0,-1.3470736479666092,0.59,0.8754687373538999,0.19235384061671346,6.324555320336759,10.954451150103322,0.9918,3.34,0.41,2.4069451083182885,1
1,6.2,-1.3862943611198906,0.21,2.806386101823072,0.19748417658131498,5.291502622129181,12.609520212918492,0.9982,3.48,0.64,2.2617630984737906,0
1,7.3,-1.1394342831883648,0.23,2.6878474937846906,0.22360679774997896,7.0,14.035668847618199,0.9985,3.2,0.46,2.163323025660538,0
1,7.7,-1.171182981502945,0.26,2.174751721484161,0.17606816861659008,4.795831523312719,9.486832980505138,0.9944,3.13,0.5,2.341805806147327,0
1,7.1,-1.5606477482646683,0.37,1.2237754316221157,0.161245154965971,4.795831523312719,10.0,0.9903,3.15,0.38,2.4336133554004498,1
1,6.8,-1.4271163556401458,0.34,1.308332819650179,0.216794833886788,8.031189202104505,14.781745499094482,0.9934,3.3,0.58,2.272125885509337,0
1,6.9,-0.916290731874155,0.56,2.501435951739211,0.2073644135332772,6.324555320336759,11.916375287812984,0.9975,3.14,0.46,2.163323025660538,0
1,6.1,-1.7147984280919266,0.36,1.0986122886681098,0.19493588689617927,4.47213595499958,15.795568998931314,0.9923,3.37,0.79,2.424802725718295,0
1,6.8,-1.5606477482646683,0.27,1.1314021114911006,0.17320508075688773,5.0990195135927845,11.789826122551595,0.99,3.16,0.61,2.533696813957432,1
1,5.8,-1.6094379124341003,0.27,0.8754687373538999,0.17606816861659008,3.4641016151377544,8.774964387392123,0.9905,3.25,0.36,2.388762789235098,1
